verse_number,tantra,section,english_title
"-22","Introduction","The Author","The Author"
"-21","Introduction","Saiva Siddhanta","Saiva Siddhanta"
"-20","Introduction","Siva, the Pati","Siva, the Pati"
"-19","Introduction","The Soul and its Fetters","The Soul and its Fetters"
"-18","Introduction","Liberation and the Four Paths","Liberation and the Four Paths"
"-17","Introduction","The Place of the Tirumantiram","The Place of the Tirumantiram"
"-16","Introduction","A Bird's Eye View: The Prologue","A Bird's Eye View: The Prologue"
"-15","Introduction","Tantra One","Tantra One"
"-14","Introduction","Tantra Two","Tantra Two"
"-13","Introduction","Tantra Three","Tantra Three"
"-12","Introduction","Tantra Four","Tantra Four"
"-11","Introduction","Tantra Five","Tantra Five"
"-10","Introduction","Tantra Six","Tantra Six"
"-9","Introduction","Tantra Seven","Tantra Seven"
"-8","Introduction","Tantra Eight","Tantra Eight"
"-7","Introduction","Tantra Nine","Tantra Nine"
"-6","Prologue","Invocation and Prayer to God","Invocation and Prayer to God"
"-5","Prologue","The Vedas and the Agamas","The Vedas and the Agamas"
"-4","Prologue","The Lineage of Gurus","The Lineage of Gurus"
"-3","Prologue","The Mission of Tirumular","The Mission of Tirumular"
"-2","Prologue","The Nature of the Godhead","The Nature of the Godhead"
"-1","Prologue","On the Title — Mantra","On the Title — Mantra"
"0","Payiram","Invocation of Vinayaka","Adoration to the Holy Feet enshrined in my"
"1","Payiram","IN PRAISE OF GOD","One is Many"
"2","Payiram","SPECIAL INTRODUCTION","Defies Death"
"3","Payiram","SPECIAL INTRODUCTION","Immortal Gods Adore"
"4","Payiram","SPECIAL INTRODUCTION","Dispeis Gloom"
"5","Payiram","SPECIAL INTRODUCTION","Siva 19 Nonpareil"
"6","Payiram","SPECIAL INTRODUCTION","Omni-Competent"
"7","Payiram","SPECIAL INTRODUCTION","Divine Father"
"8","Payiram","SPECIAL INTRODUCTION","Kinder Than Mother"
"9","Payiram","SPECIAL INTRODUCTION","Ali Worship Him"
"10","Payiram","SPECIAL INTRODUCTION","Omnium Gatherw"
"11","Payiram","SPECIAL INTRODUCTION","Effort And Fruit"
"12","Payiram","IN PRAISE OF GOD","Beyond Comprehension"
"13","Payiram","IN PRAISE OF GOD","Immeasurabie"
"14","Payiram","IN PRAISE OF GOD","Transcends All"
"15","Payiram","IN PRAISE OF GOD","TH"
"16","Payiram","IN PRAISE OF GOD","Confers Everything On Gods"
"17","Payiram","IN PRAISE OF GOD","Love Profound"
"18","Payiram","IN PRAISE OF GOD","~ Munificent"
"19","Payiram","IN PRAISE OF GOD","Created Universe"
"20","Payiram","IN PRAISE OF GOD","in Mount Kailas"
"21","Payiram","IN PRAISE OF GOD","Comes Speeding"
"22","Payiram","IN PRAISE OF GOD","Seek Him, He Seeks You"
"23","Payiram","IN PRAISE OF GOD","Infinite Grace"
"24","Payiram","IN PRAISE OF GOD","Firm In Minds Firm"
"25","Payiram","IN PRAISE OF GOD","illusions Vanish"
"26","Payiram","IN PRAISE OF GOD","Attain Grace"
"27","Payiram","IN PRAISE OF GOD","He Enters Into You"
"28","Payiram","IN PRAISE OF GOD","Your Guide"
"29","Payiram","IN PRAISE OF GOD","Axle-Pin"
"30","Payiram","IN PRAISE OF GOD","Yearn For Him"
"31","Payiram","IN PRAISE OF GOD","Seek Him In Love"
"32","Payiram","IN PRAISE OF GOD","Sing Of Him"
"33","Payiram","IN PRAISE OF GOD","Adore Him ="
"34","Payiram","IN PRAISE OF GOD","Chant His Names Thousand"
"35","Payiram","IN PRAISE OF GOD","Path Crossed"
"36","Payiram","IN PRAISE OF GOD","Praise And Be Blessed"
"37","Payiram","IN PRAISE OF GOD","Throbs Within"
"38","Payiram","IN PRAISE OF GOD","Greatness Unceasing"
"39","Payiram","IN PRAISE OF GOD","Adore And Attain Grace"
"40","Payiram","IN PRAISE OF GOD","in The Heart Of The Pure"
"41","Payiram","IN PRAISE OF GOD","In Depths Of Devotee’s Heart"
"42","Payiram","IN PRAISE OF GOD","Grants All"
"43","Payiram","IN PRAISE OF GOD","Eternal Grace"
"44","Payiram","IN PRAISE OF GOD","Shines In Love"
"45","Payiram","IN PRAISE OF GOD","Divine Path"
"46","Payiram","IN PRAISE of GOD","In ‘Heart’s Centre"
"47","Payiram","IN PRAISE of GOD","Bliss Denied"
"48","Payiram","IN PRAISE of GOD","Unflickering Lamp"
"49","Payiram","IN PRAISE of GOD","Sea Of Bondage"
"50","Payiram","IN PRAISE of GOD","Seeking Is All"
"51","Payiram","GREATNESS OF VEDAS","Vedas Preclaim Dharma"
"52","Payiram","GREATNESS OF VEDAS","Truth Of Maker"
"53","Payiram","GREATNESS OF VEDAS","Meving Mood"
"54","Payiram","GREATNESS OF VEDAS","Supreme Path"
"55","Payiram","GREATNESS OF VEDAS","One In Several"
"56","Payiram","GREATNESS OF VEDAS","Vedic Sacrifices"
"57","Payiram","THE GREATNESS OF THE AGAMAS","Agamas From The Fifth Face Of Siva"
"58","Payiram","THE GREATNESS OF THE AGAMAS","Agamas Innumerable"
"59","Payiram","IN PRAISE OF GOD","Agamiic Truths in 18 Languages"
"60","Payiram","IN PRAISE OF GOD","Agamas Deep in Content"
"61","Payiram","IN PRAISE OF GOD","Agamas Revealed"
